species,A,Tleaf
Acoelorrhaphe wrightii,12.20401182,35.3961
Acoelorrhaphe wrightii,8.308769969,34.3182
Acoelorrhaphe wrightii,7.10516924,37.7572
Acoelorrhaphe wrightii,8.583382548,37.8028
Acoelorrhaphe wrightii,8.178569827,29.1676
Acoelorrhaphe wrightii,6.222329578,27.6374
Acoelorrhaphe wrightii,6.340456305,27.9299
Acoelorrhaphe wrightii,10.2809694,36.7174
Acoelorrhaphe wrightii,10.58963665,35.9481
Acoelorrhaphe wrightii,7.730322798,39.2144
Acoelorrhaphe wrightii,7.342226939,40.5047
Acoelorrhaphe wrightii,8.142937417,38.5416
Acoelorrhaphe wrightii,6.055375803,37.4327
Acoelorrhaphe wrightii,7.110150372,38.106
Acoelorrhaphe wrightii,10.73221292,30.2636
Acoelorrhaphe wrightii,7.753770196,32.1721
Acoelorrhaphe wrightii,9.494426997,33.6628
Adenocalymma comosum,14.08245424,36.0749
Adenocalymma comosum,12.92635365,37.2571
Adenocalymma comosum,4.026686383,40.4707
Adenocalymma comosum,10.85914783,35.2515
Adenocalymma comosum,12.248355,36.6623
Adenocalymma comosum,7.711337175,28.7916
Adenocalymma comosum,9.891629742,26.0762
Adenocalymma comosum,11.46634811,26.1945
Adenocalymma comosum,7.809175336,26.1479
Adenocalymma comosum,16.35657569,31.6259
Adenocalymma comosum,16.11244845,31.0815
Adenocalymma comosum,16.03560842,30.0379
Adenocalymma comosum,13.07718913,38.3938
Adenocalymma comosum,7.936697232,39.5103
Adenocalymma comosum,2.369562049,41.9808
Adenocalymma comosum,9.807852086,35.1424
Adenocalymma comosum,12.24682307,33.799
Adenocalymma comosum,6.810427347,29.0624
Adenocalymma comosum,9.448608496,28.7792
Adenocalymma comosum,13.08916857,27.7074
Adenocalymma comosum,16.24604094,30.403
Adenocalymma comosum,0.874039836,29.0334
Adenocalymma comosum,8.439727381,30.8054
Adenocalymma comosum,7.307983081,33.0734
Adenocalymma comosum,9.165504587,32.3156
Adenocalymma comosum,11.17073704,37.3426
Adenocalymma comosum,6.529434512,39.9914
Adenocalymma comosum,10.37101756,38.7668
Adenocalymma comosum,13.16002959,30.2954
Adenocalymma comosum,11.88601784,29.3425
Adenocalymma comosum,10.86281794,28.2941
Adenocalymma comosum,18.73402544,29.3636
Adenocalymma comosum,14.6899291,29.1153
Adenocalymma comosum,14.71121153,29.5884
Brosimum alicastrum,10.52546848,26.6216
Brosimum alicastrum,10.08653368,26.1887
Brosimum alicastrum,11.27447626,27.5134
Brosimum alicastrum,10.03264643,26.4058
Brosimum alicastrum,13.77114684,30.4607
Brosimum alicastrum,10.54473938,30.2675
Brosimum alicastrum,12.19066245,30.8559
Brosimum alicastrum,13.36589765,36.5968
Brosimum alicastrum,12.67469816,36.7067
Brosimum alicastrum,12.73330571,36.4832
Brosimum alicastrum,10.79499993,38.0126
Brosimum alicastrum,15.03003089,36.7671
Brosimum alicastrum,6.628934012,38.7202
Brosimum alicastrum,6.604052325,37.1013
Brosimum alicastrum,13.14648199,36.7761
Brosimum alicastrum,13.63931867,36.8525
Brosimum alicastrum,13.64973568,36.2279
Brosimum alicastrum,17.00931434,33.0008
Brosimum alicastrum,15.84812368,31.8382
Brosimum alicastrum,16.67217036,32.2414
Brosimum alicastrum,15.29707858,31.9622
Brosimum alicastrum,14.78807016,32.5496
Brosimum alicastrum,12.70135465,35.5733
Brosimum alicastrum,13.86073198,34.8908
Brosimum alicastrum,12.9623619,34.207
Brosimum alicastrum,11.87621962,32.7371
Brunfelsia lactea,15.58750288,38.0125
Brunfelsia lactea,11.66429842,38.7318
Brunfelsia lactea,13.54663118,37.8365
Brunfelsia lactea,14.97013458,36.0382
Brunfelsia lactea,16.95807007,33.3553
Brunfelsia lactea,17.76447974,34.1039
Brunfelsia lactea,14.8654152,35.6797
Brunfelsia lactea,12.74257176,38.399
Brunfelsia lactea,11.11769391,38.2842
Brunfelsia lactea,15.01982165,36.0612
Brunfelsia lactea,11.11649487,38.4513
Brunfelsia lactea,15.2101824,31.0786
Brunfelsia lactea,9.654023915,36.7043
Brunfelsia lactea,13.32929295,36.2619
Brunfelsia lactea,13.5031969,33.7838
Brunfelsia lactea,17.84051461,35.1369
Brunfelsia lactea,12.66604741,31.9232
Brunfelsia lactea,16.44186588,32.8583
Brunfelsia lactea,13.82044731,30.5733
Brunfelsia lactea,17.32384414,31.2363
Brunfelsia lactea,6.978758099,42.087
Brunfelsia lactea,9.037672069,36.67
Brunfelsia lactea,10.8105787,37.7734
Brunfelsia lactea,12.56180307,35.2292
Brunfelsia lactea,2.998309659,40.7018
Brunfelsia lactea,9.32664405,38.3724
Brunfelsia lactea,6.352373826,38.4548
Brunfelsia lactea,11.61623293,27.9859
Brunfelsia lactea,8.698996213,27.6596
Brunfelsia lactea,10.33786547,28.4389
Brunfelsia lactea,7.741554214,28.0568
Cynophalla flexuosa,16.00606085,36.6795
Cynophalla flexuosa,11.67311337,36.6322
Cynophalla flexuosa,16.09496886,36.3164
Cynophalla flexuosa,9.235936338,36.6946
Cynophalla flexuosa,10.57366147,39.2498
Cynophalla flexuosa,12.4274292,38.5533
Cynophalla flexuosa,7.725119532,40.1868
Cynophalla flexuosa,11.60206339,36.0186
Cynophalla flexuosa,11.85481504,35.4402
Cynophalla flexuosa,13.25028416,34.4755
Cynophalla flexuosa,8.55115558,38.0926
Cynophalla flexuosa,16.47495378,30.9247
Cynophalla flexuosa,12.71935884,31.3635
Cynophalla flexuosa,12.33624577,33.5217
Cynophalla flexuosa,12.59524509,33.0886
Cynophalla flexuosa,12.84067293,32.0589
Cynophalla flexuosa,10.45828981,36.5467
Cynophalla flexuosa,10.89780927,35.2634
Cynophalla flexuosa,6.931412856,36.9771
Cynophalla flexuosa,8.58879408,28.6142
Cynophalla flexuosa,6.837471376,28.3632
Cynophalla flexuosa,14.20254436,28.9925
Cynophalla flexuosa,7.610216174,28.7773
Cynophalla flexuosa,8.988063982,29.7113
Cynophalla flexuosa,10.5393705,27.7756
Cynophalla flexuosa,9.610138495,28.6052
Cynophalla flexuosa,6.748441719,31.2437
Cynophalla flexuosa,8.750071141,30.4379
Cynophalla flexuosa,9.087609086,29.9986
Cynophalla flexuosa,13.84299499,33.3436
Cynophalla flexuosa,13.55630736,34.8821
Cynophalla flexuosa,14.37147633,32.5605
Cynophalla flexuosa,12.92098008,35.7728
Cynophalla flexuosa,14.89057724,32.7496
